id_kegiatan,tgl_keg_patroli,provinsi,daops,kab_kota,kecamatan,desa_kelurahan,suhu,kelembaban,curah_hujan,kecepatan_angin,cuaca_pagi,cuaca_siang,cuaca_sore,created_at,updated_at
2,2016-02-24,Kalimantan Barat,ketapang,N/A,matan hilir selatan,sungai pelang,,,N/A,,N/A,N/A,N/A,2016-02-24,2016-02-24
11,2016-02-24,Kalimantan Barat,pontianak,N/A,Rasau Jaya,Rasau Jaya Umum,,,N/A,,N/A,N/A,N/A,2016-02-24,2016-02-24
12,2016-02-24,Kalimantan Barat,pontianak,N/A,sungai raya,limbung jaya,,,rendah,,cerah,cerah,cerah,2016-02-24,2016-02-24
13,2016-02-24,Kalimantan Barat,pontianak,N/A,sungai ambawang,pancaroba,,,sedang,,cerah,cerah,cerah,2016-02-24,2016-02-24
17,2016-02-25,Kalimantan Barat,ketapang,N/A,matan hilir selatan,sungai pelang,,,N/A,,N/A,N/A,N/A,2016-02-25,2016-02-25
27,2016-02-26,Kalimantan Barat,ketapang,N/A,matan hilir selatan,sungai pelang,,,N/A,,N/A,N/A,N/A,2016-02-26,2016-02-26
41,2016-04-27,Kalimantan Barat,ketapang,N/A,matan hilir selatan,sungai pelang,,,N/A,,N/A,N/A,N/A,2016-04-27,2016-04-27
42,2016-04-27,Kalimantan Barat,ketapang,N/A,kendawangan,pembedilan,,,N/A,,N/A,N/A,N/A,2016-04-27,2016-04-27
43,2016-04-27,Kalimantan Barat,ketapang,N/A,muara pawan,sungai awan,25.4,,N/A,,hujan,N/A,N/A,2016-04-27,2016-04-27
44,2016-04-27,Kalimantan Barat,sintang,N/A,sintang,akcaya,,,N/A,,N/A,N/A,N/A,2016-04-27,2016-04-27
45,2016-04-27,Kalimantan Barat,sintang,N/A,sintang,kapuas kanan hilir,,,N/A,,hujan,N/A,N/A,2016-04-27,2016-04-27
46,2016-04-27,Kalimantan Barat,sambas,N/A,paloh,nibung,30,98,N/A,4,N/A,cerah,cerah,2016-04-27,2016-04-27
47,2016-04-27,Kalimantan Barat,bengkayan,N/A,sungai raya kepulauan,karimunting,,,N/A,,N/A,N/A,N/A,2016-04-27,2016-04-27
