idkegiatan,latitude,longitude,kondisiveg,tanah,dlm_gambut,vegetasi,potensi,luastanah,kondisi,aktivitas,keterangan,sumberair,pjg_air,dlm_air,lebar_air
2,-1.992222222,110.1355278,N/A,N/A,,Ilalang,N/A,,rawan karhutla,N/A,N/A,N/A,,,
2,-1.963555556,110.1340833,N/A,N/A,,N/A,N/A,,N/A,N/A,lokasi sumber air,parit,,1.5,3
2,-1.992166667,110.1356389,N/A,N/A,,N/A,N/A,,N/A,N/A,lokasi sumber air,parit,,1.5,3
11,-0.282027778,109.3404167,N/A,gambut,1,Palawija,N/A,1.5,bekas karhutla,N/A,N/A,N/A,,1,2
11,-0.273694444,109.3403889,N/A,gambut,,"Semak Belukar,Pakis",N/A,50,rawan karhutla,N/A,N/A,parit,,1,2
11,-0.269944444,109.3392222,N/A,gambut,,N/A,N/A,3,rawan karhutla,N/A,N/A,parit,,1.5,2
11,-0.266055556,109.3440833,N/A,gambut,,"Semak Belukar,Pakis",N/A,1.5,rawan karhutla,N/A,N/A,N/A,,,
11,-0.26925,109.33975,N/A,gambut,,N/A,N/A,,bekas karhutla,N/A,N/A,parit,,1.2,2
13,-0.0297,109.60928,N/A,gambut,,N/A,N/A,,N/A,N/A,lahan pertanian,parit,,1.5,2
13,-0.02717,109.60889,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,parit,,1.5,2
17,-1.963833333,110.1342222,N/A,N/A,,Semak Belukar,N/A,,N/A,N/A,N/A,N/A,,,
17,-1.992222222,110.1355278,N/A,N/A,,Ilalang,N/A,,rawan karhutla,N/A,N/A,N/A,,,
17,-1.963555556,110.1340833,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,parit,,1.5,3
17,-2.826666667,110.5584444,N/A,gambut,,"Pakis,Semak Belukar",N/A,,rawan karhutla,N/A,N/A,N/A,,,
17,-2.828166667,110.5548056,N/A,N/A,,Galam,N/A,0.5,bekas karhutla,N/A,N/A,N/A,,,
17,-2.826527778,110.5585833,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,parit,,1.5,2
27,-1.928666667,110.1270278,N/A,gambut,,"sempuk,Semak Belukar",rendah,,rawan karhutla,N/A,N/A,N/A,,,
27,-1.939555556,110.128,N/A,gambut,,"Ilalang,Semak Belukar",rendah,,N/A,N/A,N/A,N/A,,,
27,-1.926055556,110.1331111,N/A,gambut,,Semak Belukar,rendah,,N/A,N/A,N/A,N/A,,,
27,-1.751944444,110.9876667,N/A,N/A,,N/A,N/A,,rawan karhutla,N/A,N/A,N/A,,,
27,-1.751944444,109.9875,N/A,N/A,,"Ilalang,Galam",N/A,0.5,bekas karhutla,N/A,N/A,N/A,,,
27,-1.963833333,110.1342222,N/A,N/A,,Semak Belukar,rendah,,N/A,N/A,N/A,N/A,,,
27,-1.992222222,110.1355278,N/A,N/A,,Ilalang,rendah,,rawan karhutla,N/A,N/A,N/A,,,
27,-1.963555556,110.1340833,N/A,N/A,,N/A,rendah,,N/A,N/A,N/A,parit,,1.5,3
27,-1.992166667,110.1356389,N/A,N/A,,N/A,rendah,,N/A,N/A,N/A,parit,,1.5,3
41,-1.932111111,110.1091389,N/A,N/A,,N/A,rendah,,N/A,N/A,Lokasi konsentrasi penduduk,N/A,,,
41,-1.919138889,110.1143889,N/A,gambut,8,Semak Belukar,rendah,,rawan karhutla,N/A,N/A,N/A,,,
41,-1.92675,110.1086667,N/A,N/A,,Semak Belukar,rendah,,N/A,N/A,akses yg bisa digunakan hanya jalan setapak,N/A,,,
41,-1.936555556,110.1170833,N/A,N/A,,"Ilalang,Rambang",rendah,,rawan karhutla,N/A,N/A,N/A,,,
41,-1.919222222,110.1144722,N/A,N/A,,N/A,rendah,,N/A,N/A,N/A,parit,,1.5,4
41,-1.926111111,110.1093889,N/A,N/A,,N/A,rendah,,N/A,N/A,N/A,parit,,3,5
41,-1.936194444,110.1169722,N/A,N/A,,N/A,rendah,,N/A,N/A,N/A,parit,,3,6
43,-1.691583333,110.0311667,N/A,N/A,,"Ilalang,Pakis,Galam",N/A,,rawan karhutla,N/A,N/A,N/A,,,
43,-1.693694444,110.0325833,N/A,N/A,,"Ilalang,Karet",N/A,,rawan karhutla,N/A,N/A,N/A,,,
43,-1.71525,110.0202222,N/A,N/A,,Semak Belukar,N/A,0.9,bekas karhutla,N/A,N/A,N/A,,,
43,-1.691611111,110.0311944,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,,1.5,2.5
43,-1.694416667,110.0343333,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,,1.5,2.5
